rank,boss_name,game,year,platforms,genres
100,Bowser,Super Mario 64,1996,Nintendo 64/Wii/DS,Platformer
99,Senator Armstrong,Metal Gear Rising: Revengeance,2013,PS3/Xbox 360/PC/Mac,Action
98,Viper,Titanfall 2,2016,PS4/Xbox One/PC,Action||Shooter
97,Ghost of Lady Comstock,BioShock Infinite,2013,PS3/PS4/Xbox 360/Xbox One/PC/Mac/Linux,Action||Shooter
96,The Brickster,Lego Island,1997,PC,Racing||Arcade
95,Kai Leng,Mass Effect 3,2012,PS3/Xbox 360/Wii U/PC,Action||RPG
94,Vortex Queen,Ecco the Dolphin,1992,Sega Genesis/Master System/Wii/3DS/Xbox 360/PC/iOS,Action
93,The Alien,Alien: Isolation,2014,PS3/PS4/Xbox 360/Xbox One/PC/Linux,Action
92,Landing on the aircraft carrier,Top Gun,1987,Nintendo Entertainment System,Arcade
91,Queen Zeal,Chrono Trigger,1995,Super Nintendo/PlayStation/DS/iOS/Android,RPG
90,Tabuu,Super Smash Bros. Brawl,2008,Wii,Action||Casual||Fighting
89,Malus,Shadow of the Colossus,2005,PS2/PS3,Action||Adventure||RPG
88,The Airship,BioShock Infinite,2013,PS3/PS4/Xbox 360/Xbox One/PC/Mac/Linux,Action||Shooter
87,Primagen,Turok 2: Seeds of Evil,1998,Nintendo 64/PC,Action||Shooter||Adventure
86,Majora,The Legend of Zelda: Majora's Mask,2000,Nintendo 64/3DS/Wii,Action||Adventure
85,King Krusha K. Rool,Donkey Kong 64,1999,Nintendo 64,Adventure||Platformer
84,Ender Dragon,Minecraft ,2011,Everywhere,Action||Simulation||Arcade||Massively Multiplayer||Indie
83,Crawmerax the Invincible,Borderlands: The Secret Armory of General Knoxx,2010,PS3/Xbox 360/PC/Mac,Action||Shooter
82,Vergil,Devil May Cry 3: Dante's Awakening,2005,PS2/PS3/Xbox 360/PC,Action
81,Daud,Dishonored ,2012,PS3/PS4/Xbox 360/Xbox One/PC,Action||Shooter||Adventure||RPG
80,Shadow Queen,Paper Mario: The Thousand-Year Door,2004,GameCube,RPG
79,Deathstroke,Batman: Arkham Knight,2015,PS4/Xbox One/PC,Action
78,Matriarch Benezia,Mass Effect,2007,PS3/Xbox 360/PC,Action||RPG
77,Cyberdemon,Doom ,2016,PS4/Xbox One/PC,Action||Shooter
76,Shima Sakon,Nioh ,2017,PS4,Action||RPG
75,Atheon,Destiny ,2014,PS3/PS4/Xbox 360/Xbox One,Action||Shooter
74,Wiegraf/Velius,Final Fantasy Tactics,1998,PlayStation/PS Vita,Adventure||RPG||Simulation
73,King Bohan,Heavenly Sword,2007,PS3,Action
72,Mothrakk,Borderlands ,2009,PS3/Xbox 360/PC/Mac,Action||Shooter||RPG
71,Ivaldi,Gunvalkyrie ,2002,Xbox/Dreamcast,Action
70,Kurt Zisa,Kingdom Hearts,2002,PS2,RPG
69,Guildenstern,Vagrant Story,2000,PlayStation,Adventure||RPG
68,The Batomys,Valkyria Chronicles,2008,PS3/PS4/PC,Action||RPG||Strategy
67,Mewtwo,"Pokémon Red, Blue, and Yellow",1996,Game Boy,Adventure||RPG
66,Baal,Diablo II: Lord of Destruction,2001,PC/Mac,Action||RPG
65,Hitler,Wolfenstein 3D,1992,PC/Mac/Linux,Action||Shooter
64,Kerafyrm (a.k.a. the Sleeper),EverQuest ,1999,PC/Mac,RPG||Massively Multiplayer
63,Old King Allant,Demon's Souls,2009,PS3,Action||RPG
62,Nemesis,Resident Evil 3,1999,PlayStation/Dreamcast/Gamecube/PC,Action||Shooter||Adventure
61,Lavos,Chrono Trigger,1995,Super Nintendo/PlayStation/iOS/Android/DS,RPG
60,Darksol,Shining Force,1992,Sega Genesis/Saturn/Game Boy Advance/Wii/PC/iOS,RPG
59,Darklurker,Dark Souls 2,2014,PS3/PS4/Xbox 360/Xbox One/PC,Action||RPG
58,Shao Kahn,Mortal Kombat 3,1995,Arcade/Sega Genesis/Super Nintendo/PlayStation,Arcade||Fighting
57,Deathshead,Wolfenstein: The New Order,2014,PS3/PS4/Xbox 360/Xbox One/PC,Action||Shooter
56,Rebel Flagship,FTL: Faster Than Light,2012,iOS/PC/Mac/Linux,Strategy||Simulation||Indie
55,Seth,Street Fighter IV,2009,Arcade/PS3/Xbox 360/PC/3DS/iOS/Android,Action||Arcade||Fighting
54,"Manus, Father of the Abyss",Dark Souls: Artorias of the Abyss,2011,PS3/Xbox 360/PC,Action||RPG
53,Psycho Mantis,Metal Gear Solid,1998,PlayStation/PC,Action||Shooter||Adventure
52,Ultimecia,Final Fantasy VIII,1999,PlayStation/PC,RPG
51,Spider Mastermind,Doom ,1993,PC/Super Nintendo/PlayStation/PS3/Xbox/Xbox 360/iOS,Action||Shooter
50,Shadow of Yharnam,Bloodborne,2015,PS4,Action||RPG
49,Enchantress,Shovel Knight,2014,Everywhere,Action||Adventure||Indie||Platformer
48,Ginso Tree,Ori and the Blind Forest,2015,Xbox 360/Xbox One/PC,Adventure||Platformer
47,Giygas,Earthbound,1995,Super Nintendo/Game Boy Advance/Wii U,RPG||Strategy||Indie
46,Yuki-Onna,Nioh ,2017,PS4,Action||RPG
45,Silver Knight & Laser Eye,Shining Force,1992,Sega Genesis/Saturn/Game Boy Advance/Wii/PC/iOS,RPG
44,Liquid Snake,Metal Gear Solid,1998,PlayStation/PS3/PSP/PC,Action||Shooter||Adventure
43,Jinpachi,Tekken 5,2004,Arcade/PS2,Fighting
42,Wood Man,Mega Man 2,1988,Nintendo Entertainment System,Action||Arcade||Platformer
41,Maneater,Demon's Souls,2009,PS3,Action||RPG
40,Dirge,Shadow of the Colossus,2005,PS2/PS3,Action||Adventure||RPG
39,General Raam,Gears of War,2006,Xbox 360/Xbox One/PC,Action||Shooter
38,Ares,God of War,2005,PS2/PS3,Action||Adventure
37,Spider Guardian,Metroid Prime 2,2004,Gamecube,Action||Shooter||Adventure
36,High Dragon,Dragon Age II,2011,Xbox 360/PS3/PC/Mac,Action||Adventure||RPG
35,Doom's Bride,Catherine ,2011,PS3/Xbox 360,Action||Adventure||RPG||Puzzle
34,Grim Reaper,Castlevania ,1986,Nintendo Entertainment System,Action||Arcade||Platformer
33,Artorias,Dark Souls: Artorias of the Abyss,2011,PS3/Xbox 360/PC,Action||RPG
32,Culex,Super Mario RPG: Legend of the Seven Stars,1996,Super Nintendo/Wii,RPG
31,Death,Castlevania III: Dracula's Curse,1989,Nintendo Entertainment System,Action
30,Dark Link,The Legend of Zelda: Ocarina of Time,1998,Nintendo 64/GameCube//Wii/3DS,Action||Adventure||RPG
29,The Reaper,Persona 3,2007,PS2/PSP,RPG
28,Terramorphous the Invincible,Borderlands 2,2012,PS3/PS4/Xbox 360/Xbox One/PC/Mac/Linux,Action||Shooter||RPG
27,Death Egg Robot,Sonic the Hedgehog 2,1992,Sega Genesis/3DS/iOS/Android,Action||Arcade||Platformer
26,Tyrant,Resident Evil: Code Veronica,2000,PS2/PS3/Xbox 360/GameCube,Action||Adventure||Puzzle
25,Omega Weapon,Final Fantasy VIII,1999,PlayStation/PC,RPG
24,Lingering Will,Kingdom Hearts 2 Final Mix+,2007,PS2,Action||RPG
23,Shadow Link,Zelda II: The Adventure of Link,1987,Nintendo Entertainment System,RPG
22,Ornstein and Smough,Dark Souls,2011,PS3/Xbox 360/PC,Action||RPG
21,The End,Metal Gear Solid 3: Snake Eater,2004,PS2/PS3/Xbox 360/3DS,Action
20,"Ludwig, the Accursed",Bloodborne: The Old Hunters,2015,PS4,Action||RPG
19,Crota,Destiny: The Dark Below,2014,PS3/PS4/Xbox 360/Xbox One,Action||Shooter
18,Dracula,Castlevania ,1986,Nintendo Entertainment System,Action||Arcade||Platformer
17,Goro,Mortal Kombat,1992,Arcade/Sega Genesis/Super Nintendo/PS2/Xbox,Fighting
16,Jaws,Jaws ,1987,Nintendo Entertainment System,Action
15,Riku/Ansem,Kingdom Hearts,2002,PS2,RPG
14,M. Bison,Street Fighter II,1991,Arcade/Super Nintendo/PlayStation/iOS/Switch,Arcade||Fighting
13,Alma,Ninja Gaiden,2004,Xbox,Action
12,Pandemonium Warden,Final Fantasy XI ,2002,PS2/Xbox 360/PC,RPG||Massively Multiplayer
11,Fume Knight,Dark Souls 2: Crown of the Old Iron King,2014,PS3/PS4/Xbox 360/Xbox One/PC,Action||RPG
10,Mike Tyson,Punch-Out!!,1984,Arcade/Nintendo Entertainment System,Fighting
9,Dr. Wily's Yellow Devil,Mega Man,1987,Nintendo Entertainment System,Action
8,Sephiroth,Kingdom Hearts 2,2006,PS2,Action||RPG
7,Flamelurker,Demon's Souls,2009,PS3,Action||RPG
6,Orphan of Kos,Bloodborne: The Old Hunters,2015,PS4,Action||RPG
5,Emerald Weapon,Final Fantasy VII,1997,PlayStation/PC,Action||Adventure||RPG
4,"""Through the Fire and Flames""",Guitar Hero 3,2007,PS2/PS3/Xbox 360/Wii/PC/Mac,Arcade
3,The Nameless King,Dark Souls 3,2016,PS4/Xbox One/PC,Action||RPG
2,C'Thun,World of Warcraft,2004,PC/Mac,RPG||Massively Multiplayer
1,Skolas,Destiny: House of Wolves,2015,PS4/Xbox One/PS3/Xbox 360,Action||Shooter||RPG
