Name,Phy,Mag,Fire,Ligh,Holy,CritBoost,Str,Dex,Int,Fai,Arc,Wgt,Skill,Category,category_url,last_updated
Celebrant's Skull,138 63,- 34,- 34,- 34,- 34,100 40,18 E,12 D,- - ,- - ,- - ,8.5,FP 16 Barbaric Roar,Great Hammers,https://eldenring.wiki.fextralife.com/Great+Hammers,15/08/2022
Great Stars,135 68,- 36,- 36,- 36,- 36,100 44,22 D,12 D,- - ,- - ,- - ,10,9 Endure,Great Hammers,https://eldenring.wiki.fextralife.com/Great+Hammers,15/08/2022
Greathorn Hammer,134 65,- 35,- 35,- 35,- 35,100 42,22 D,10 D,- - ,- - ,- - ,10,16 Barbaric Roar,Great Hammers,https://eldenring.wiki.fextralife.com/Great+Hammers,15/08/2022
Envoy's Long Horn,120 58,- 31,- 31,- 31,78 42,100 39,23 D,11 D,- - ,18 D,- - ,9.5,12 Bubble Shower,Great Hammers,https://eldenring.wiki.fextralife.com/Great+Hammers,15/08/2022
Cranial Vessel Candlestand,98 71,- 37,98 51,- 37,- 37,100 48,26 D,8 E,- - ,22 D,- - ,12.5,15 (- 15) Surge of Faith,Great Hammers,https://eldenring.wiki.fextralife.com/Great+Hammers,15/08/2022
Beastclaw Greathammer,116 62,- 33,- 33,- 33,- 33,100 42,20 D,10 D,- - ,18 D,- - ,9,20 Regal Beastclaw,Great Hammers,https://eldenring.wiki.fextralife.com/Great+Hammers,15/08/2022
Devourer's Scepter,112 62,- 33,69 45,- 33,- 33,100 42,24 D,20 D,- - ,25 D,- - ,11.5,35 Devourer of Worlds,Great Hammers,https://eldenring.wiki.fextralife.com/Great+Hammers,15/08/2022
Duelist Greataxe,170 78,- 47,- 47,- 47,- 47,100 52,30 E,10 D,- - ,- - ,- - ,20,9 Endure,Colossal Weapons,https://eldenring.wiki.fextralife.com/Colossal+Weapons,15/08/2022
Rotten Greataxe,162 78,- 47,- 47,- 47,- 47,100 52,30 E,10 D,- - ,- - ,- - ,20,9 Endure,Colossal Weapons,https://eldenring.wiki.fextralife.com/Colossal+Weapons,15/08/2022
Golem's Halberd,158 75,- 45,- 45,- 45,- 45,100 50,36 D,14 D,- - ,- - ,- - ,21.5,16 Charge Forth,Colossal Weapons,https://eldenring.wiki.fextralife.com/Colossal+Weapons,15/08/2022
Giant-Crusher,155 88,- 52,- 52,- 52,- 52,100 58,60 C,- - ,- - ,- - ,- - ,26.5,9 Endure,Colossal Weapons,https://eldenring.wiki.fextralife.com/Colossal+Weapons,15/08/2022
Prelate's Inferno Crozier,156 82,- 49,- 49,- 49,- 49,100 55,45 C,8 E,- - ,- - ,- - ,23.5,20 Prelate's Charge,Colossal Weapons,https://eldenring.wiki.fextralife.com/Colossal+Weapons,15/08/2022
Great Club,154 71,- 42,- 42,- 42,- 42,100 47,35 C,- - ,- - ,- - ,- - ,17,16 ( - 5) Golden Land,Colossal Weapons,https://eldenring.wiki.fextralife.com/Colossal+Weapons,15/08/2022
Troll's Hammer,153 66,- 41,45 46,- 41,- 41,100 46,28 C,8 E,- - ,10 D,- - ,16,22 Troll's Roar,Colossal Weapons,https://eldenring.wiki.fextralife.com/Colossal+Weapons,15/08/2022
Dragon Greatclaw,120 66,- 40,- 40,78 52,- 40,100 47,30 D,14 D,- - ,- - ,- - ,16,9 Endure,Colossal Weapons,https://eldenring.wiki.fextralife.com/Colossal+Weapons,15/08/2022
Watchdog's Staff,165 75,- 45,- 45,- 45,- 45,100 50,34 D,10 D,- - ,- - ,- - ,19,15 Sorcery of the Crozier,Colossal Weapons,https://eldenring.wiki.fextralife.com/Colossal+Weapons,15/08/2022
Staff of the Avatar,113 73,- 45,- 45,- 45,73 57,100 52,34 C,8 E,- - ,24 D,- - ,20,19 Erdtree Slam,Colossal Weapons,https://eldenring.wiki.fextralife.com/Colossal+Weapons,15/08/2022
Rotten Staff,165 75,- 45,- 45,- 45,- 45,100 50,34 D,8 E,- - ,- - ,- - ,18,19 Erdtree Slam,Colossal Weapons,https://eldenring.wiki.fextralife.com/Colossal+Weapons,15/08/2022
Envoy's Greathorn,121 70,- 43,- 43,- 43,78 55,100 50,28 D,12 D,- - ,24 E,- - ,19.5,28 Great Oracular Bubble,Colossal Weapons,https://eldenring.wiki.fextralife.com/Colossal+Weapons,15/08/2022
Ghiza's Wheel,156 73,- 43,- 43,- 43,- 43,100 48,28 D,18 D,- - ,- - ,- - ,19,4 Spinning Wheel,Colossal Weapons,https://eldenring.wiki.fextralife.com/Colossal+Weapons,15/08/2022
Fallingstar Beast Jaw,131 70,85 55,- 43,- 43,- 43,100 50,34 D,12 D,20 E,- - ,- - ,21.5,13 (- 13) Gravity Bolt,Colossal Weapons,https://eldenring.wiki.fextralife.com/Colossal+Weapons,15/08/2022
Axe of Godfrey,165 75,- 45,- 45,- 45,- 45,100 50,42 D,14 D,- - ,- - ,- - ,18,25 Regal Roar,Colossal Weapons,https://eldenring.wiki.fextralife.com/Colossal+Weapons,15/08/2022
Short Spear,112 40,- 25,- 25,- 25,- 25,100 30,10 D,10 D,- - ,- - ,- - ,4,- Kick,Spears,https://eldenring.wiki.fextralife.com/Spears,15/08/2022
Iron Spear,114 42,- 26,- 26,- 26,- 26,100 31,13 D,11 D,- - ,- - ,- - ,4.5,16 Charge Forth,Spears,https://eldenring.wiki.fextralife.com/Spears,15/08/2022
Spear,114 42,- 26,- 26,- 26,- 26,100 31,12 E,15 C,- - ,- - ,- - ,4.5,9 Impaling Thrust,Spears,https://eldenring.wiki.fextralife.com/Spears,15/08/2022
Partisan,123 48,- 30,- 30,- 30,- 30,100 36,15 D,12 D,- - ,- - ,- - ,6.5,- Kick,Spears,https://eldenring.wiki.fextralife.com/Spears,15/08/2022
Pike,115 53,- 33,- 33,- 33,- 33,100 39,20 D,14 D,- - ,- - ,- - ,7.5,16 Charge Forth,Spears,https://eldenring.wiki.fextralife.com/Spears,15/08/2022
Spiked Spear,120 46,- 28,- 28,- 28,- 28,100 34,14 D,16 D,- - ,- - ,- - ,6,9 Impaling Thrust,Spears,https://eldenring.wiki.fextralife.com/Spears,15/08/2022
Cross-Naginata,122 52,- 32,- 32,- 32,- 32,100 39,16 D,20 C,- - ,- - ,- - ,8,9 Impaling Thrust,Spears,https://eldenring.wiki.fextralife.com/Spears,15/08/2022
Clayman's Harpoon,99 49,64 38,- 25,- 25,- 25,100 33,12 D,10 E,12 D,- - ,- - ,5.5,9 Impaling Thrust,Spears,https://eldenring.wiki.fextralife.com/Spears,15/08/2022
Celebrant's Rib- Rake,109 40,- 25,- 25,- 25,- 25,100 33,8 E,14 D,- - ,- - ,- - ,5,Barbaric Roar,Spears,https://eldenring.wiki.fextralife.com/Spears,15/08/2022
Torchpole,104 48,- 26,31 33,- 26,- 26,100 34,14 D,15 E,- - ,- - ,- - ,6,16 Charge Forth,Spears,https://eldenring.wiki.fextralife.com/Spears,15/08/2022
Inquisitor's Girandole,102 56,- 28,66 43,- 28,- 28,100 37,18 D,15 D,- - ,16 D,- - ,7.5,16 Charge Forth,Spears,https://eldenring.wiki.fextralife.com/Spears,15/08/2022
Crystal Spear,110 48,33 33,- 26,- 26,- 26,100 33,10 E,16 D,16 E,- - ,- - ,5.5,Impaling Thrust,Spears,https://eldenring.wiki.fextralife.com/Spears,15/08/2022
Rotten Crystal Spear,104 48,31 33,- 26,- 26,- 26,100 33,10 E,16 D,16 E,- - ,- - ,5.5,16 Charge Forth,Spears,https://eldenring.wiki.fextralife.com/Spears,15/08/2022
Cleanrot Spear,102 49,- 25,- 25,- 25,66 38,100 33,16 D,16 D,- - ,14 D,- - ,5.5,12 Sacred Phalanx,Spears,https://eldenring.wiki.fextralife.com/Spears,15/08/2022
Death Ritual Spear,99 54,64 42,- 27,- 27,- 27,110 36,14 E,20 D,18 D,- - ,- - ,6.5,20 Spearcall Ritual,Spears,https://eldenring.wiki.fextralife.com/Spears,15/08/2022
Bolt of Gransax,98 60,- 31,- 31,63 47,- 31,100 40,20 D,40 D,- - ,- - ,- - ,8.5,35 Ancient Lightning Spear,Spears,https://eldenring.wiki.fextralife.com/Spears,15/08/2022
Lance,123 57,- 36,- 36,- 36,- 36,100 44,20 D,14 D,- - ,- - ,- - ,9,13 Charge Forth,Great Spears,https://eldenring.wiki.fextralife.com/Great+Spears,15/08/2022
Treespear,122 55,- 35,- 35,- 35,79 48,100 45,15 D,22 D,- - ,18 D,- - ,9.5,18 Sacred Order,Great Spears,https://eldenring.wiki.fextralife.com/Great+Spears,15/08/2022
Serpent-Hunter,111 72,- 42,- 42,- 42,- 42,100 50,- B,- E,- - ,- - ,- - ,12,15 Great-Serpent Hunt,Great Spears,https://eldenring.wiki.fextralife.com/Great+Spears,15/08/2022
Siluria's Tree,90 51,- 36,- 36,- 36,90 55,100 46,27 D,13 E,- - ,20 D,- - ,10,25 Siluria's Woe,Great Spears,https://eldenring.wiki.fextralife.com/Great+Spears,15/08/2022
Vyke's War Spear,103 52,- 33,66 45,- 33,- 33,100 42,16 E,20 C,- - ,18 D,- - ,8,22 Frenzyflame Thrust,Great Spears,https://eldenring.wiki.fextralife.com/Great+Spears,15/08/2022
Mohgwyn's Sacred Spear,96 57,- 38,62 38,- 38,- 38,100 46,24 D,14 E,- - ,- - ,27 D,10,20 (- 20) Bloodboon Ritual,Great Spears,https://eldenring.wiki.fextralife.com/Great+Spears,15/08/2022
Halberd,125 55,- 35,- 35,- 35,- 35,100 42,14 D,12 D,- - ,- - ,- - ,8,16 Charge Forth,Halberds,https://eldenring.wiki.fextralife.com/Halberds,15/08/2022
Banished Knight's Halberd,125 55,- 35,- 35,- 35,- 35,100 42,14 D,12 D,- - ,- - ,- - ,8,16 Charge Forth,Halberds,https://eldenring.wiki.fextralife.com/Halberds,15/08/2022
Lucerne,121 52,- 33,- 33,- 33,- 33,100 39,15 D,12 C,- - ,- - ,- - ,7,16 Charge Forth,Halberds,https://eldenring.wiki.fextralife.com/Halberds,15/08/2022
Glaive,132 60,- 38,- 38,- 38,- 38,100 46,18 D,15 D,- - ,- - ,- - ,10,6 Spinning Slash,Halberds,https://eldenring.wiki.fextralife.com/Halberds,15/08/2022
Vulgar Militia Shotel,121 55,0 35,0 35,0 35,0 35,0 42,14 E,16 C,- - ,- - ,- - ,8,6 ( - 12) Spinning Slash,Halberds,https://eldenring.wiki.fextralife.com/Halberds,15/08/2022
Vulgar Militia Saw,126 55,0 35,0 35,0 35,0 35,100 42,15 D,13 D,- - ,- - ,- - ,8,Spinning Slash,Halberds,https://eldenring.wiki.fextralife.com/Halberds,15/08/2022
Guardian's Swordspear,139 57,- 36,- 36,- 36,- 36,100 44,17 E,16 C,- - ,- - ,- - ,9,6 ( - 12) Spinning Slash,Halberds,https://eldenring.wiki.fextralife.com/Halberds,15/08/2022
Gargoyle's Halberd,131 66,- 42,- 42,- 42,- 42,100 50,26 C,10 E,- - ,- - ,- - ,12,6 ( - 12) Spinning Slash,Halberds,https://eldenring.wiki.fextralife.com/Halberds,15/08/2022
Gargoyle's Black Halberd,103 54,- 36,- 36,- 36,123 72,100 50,26 C,10 E,- - ,22 D,- - ,12,6 (- 12) Spinning Slash,Halberds,https://eldenring.wiki.fextralife.com/Halberds,15/08/2022
Nightrider Glaive,129 66,- 42,- 42,- 42,- 42,100 50,26 C,10 E,- - ,- - ,- - ,12,6 ( - 12) Spinning Slash,Halberds,https://eldenring.wiki.fextralife.com/Halberds,15/08/2022
Pest's Glaive,120 52,- 33,- 33,- 33,- 33,100 39,13 D,13 D,- - ,- - ,- - ,7,6 ( - 12) Spinning Slash,Halberds,https://eldenring.wiki.fextralife.com/Halberds,15/08/2022
Ripple Crescent Halberd,86 56,- 35,- 35,- 35,- 35,100 43,12 - ,12 - ,- - ,- - ,20 B,8.5,6 ( - 12) Spinning Slash,Halberds,https://eldenring.wiki.fextralife.com/Halberds,15/08/2022
Golden Halberd,134 65,- 41,- 41,- 41,87 56,100 52,30 D,14 E,- - ,12 D,- - ,13.5,40 Golden Vow,Halberds,https://eldenring.wiki.fextralife.com/Halberds,15/08/2022
Dragon Halberd,135 58,- 37,- 37,- 50,- 37,100 47,22 D,10 D,- - ,- - ,- - ,10.5,17 ( - 11) Spinning Slash,Halberds,https://eldenring.wiki.fextralife.com/Halberds,15/08/2022
Loretta's War Sickle,110 57,71 49,- 36,- 36,- 36,100 46,20 D,15 D,20 D,- - ,- - ,10,14 Loretta's Slash,Halberds,https://eldenring.wiki.fextralife.com/Halberds,15/08/2022
Commander's Standard,138 64,0 41,0 41,0 41,0 41,100 49,24 D,14 D,- - ,- - ,- - ,11.5,30 Rallying Standard,Halberds,https://eldenring.wiki.fextralife.com/Halberds,15/08/2022
Scythe,125 45,- 30,- 30,- 30,- 30,100 30,14 E,14 C,- - ,- - ,- - ,7.5,6 ( - 12) Spinning Slash,Reapers,https://eldenring.wiki.fextralife.com/Reapers,15/08/2022
Grave Scythe,144 49,- 33,- 33,- 33,- 33,100 33,17 D,13 D,- - ,- - ,- - ,9.5,6 ( - 12) Spinning Slash,Reapers,https://eldenring.wiki.fextralife.com/Reapers,15/08/2022
Halo Scythe,118 42,- 29,- 29,- 29,76 42,100 31,13 D,16 D,- - ,15 E,- - ,8.5,11 ( - 11) Miquella's Ring of Light,Reapers,https://eldenring.wiki.fextralife.com/Reapers,15/08/2022
Winged Scythe,87 30,- 25,- 25,- 25,104 55,100 30,16 E,16 D,- - ,24 D,- - ,7.5,17 Angel's Wings,Reapers,https://eldenring.wiki.fextralife.com/Reapers,15/08/2022
Whip,100 25,- 15,- 15,- 15,- 15,100 15,8 D,14 D,- - ,- - ,- - ,2,- Kick,Whips,https://eldenring.wiki.fextralife.com/Whips,15/08/2022
Thorned Whip,102 26,- 15,- 15,- 15,- 15,100 15,8 E,16 C,- - ,- - ,- - ,2.5,- Kick,Whips,https://eldenring.wiki.fextralife.com/Whips,15/08/2022
Urumi,101 27,- 16,- 16,- 16,- 16,100 15,10 E,19 C,- - ,- - ,- - ,3,- Kick,Whips,https://eldenring.wiki.fextralife.com/Whips,15/08/2022
Hoslow's Petal Whip,110 28,- 17,- 17,- 17,- 17,100 17,10 D,20 D,- - ,- - ,- - ,3.5,- Kick,Whips,https://eldenring.wiki.fextralife.com/Whips,15/08/2022
Magma Whip Candlestick,72 21,- 10,72 36,- 10,- 10,100 15,8 E,16 D,- - ,18 D,- - ,2.5,5 (- 5) Sea of Magma,Whips,https://eldenring.wiki.fextralife.com/Whips,15/08/2022
Giant's Red Braid,82 24,- 12,53 26,- 12,- 12,100 15,18 D,12 D,- - ,21 D,- - ,2.5,25 Flame Dance,Whips,https://eldenring.wiki.fextralife.com/Whips,15/08/2022
Caestus,90 35,- 20,- 20,- 20,- 20,100 20,8 D,8 D,- - ,- - ,- - ,1.5,9 Endure,Fists,https://eldenring.wiki.fextralife.com/Fists,15/08/2022
Spiked Caestus,91 35,- 20,- 20,- 20,- 20,100 20,8 D,10 D,- - ,- - ,- - ,2,9 Endure,Fists,https://eldenring.wiki.fextralife.com/Fists,15/08/2022
Katar,97 36,- 21,- 21,- 21,- 21,110 21,8 D,10 D,- - ,- - ,- - ,2.5,14 Impaling Thrust,Fists,https://eldenring.wiki.fextralife.com/Fists,15/08/2022
Iron Ball,101 38,0 22,0 22,0 22,0 22,100 22,11 D,8 E,- - ,- - ,- - ,2.5,16 Endure (has Braggart's Roar equipped),Fists,https://eldenring.wiki.fextralife.com/Fists,15/08/2022
Star Fist,105 41,0 23,0 23,0 23,0 23,0 23,12 D,8 E,- - ,- - ,- - ,3,9 Endure,Fists,https://eldenring.wiki.fextralife.com/Fists,15/08/2022
Clinging Bone,80 31,24 36,0 17,0 17,0 17,100 21,8 E,22 C,- - ,- - ,16 D,3,14 Lifesteal Fist,Fists,https://eldenring.wiki.fextralife.com/Fists,15/08/2022
Veteran's Prosthesis,83 30,0 20,0 20,53 48,0 20,100 24,15 D,12 D,- - ,- - ,- - ,4,15 Storm Kick,Fists,https://eldenring.wiki.fextralife.com/Fists,15/08/2022
Cipher Pata,0 9,0 14,0 14,0 14,85 61,100 19,- - ,- - ,- - ,30 C,- - ,0,17 Unblockable Blade,Fists,https://eldenring.wiki.fextralife.com/Fists,15/08/2022
Grafted Dragon,89 27,- 18,57 44,- 18,- 18,100 22,20 D,14 D,- - ,16 D,- - ,2.5,20 Bear Witness!,Fists,https://eldenring.wiki.fextralife.com/Fists,15/08/2022
Hookclaws,89 35,- 20,- 20,- 20,- 20,110 20,8 E,14 C,- - ,- - ,- - ,2,3 Quickstep,Claws,https://eldenring.wiki.fextralife.com/Claws,15/08/2022
Bloodhound Claws,94 38,- 22,- 22,- 22,- 22,110 22,10 D,15 D,- - ,- - ,- - ,3,5 Bloodhound's Step,Claws,https://eldenring.wiki.fextralife.com/Claws,15/08/2022
Venomous Fang,92 36,- 21,- 21,- 21,- 21,100 19,9 D,9 D,- - ,- - ,- - ,2.5,3 Quickstep,Claws,https://eldenring.wiki.fextralife.com/Claws,15/08/2022
Raptor Talons,83 33,- 19,- 19,- 19,- 19,110 19,6 E,14 C,- - ,- - ,- - ,1.5,3 Quickstep,Claws,https://eldenring.wiki.fextralife.com/Claws,15/08/2022
Torch,54 21,- 15,97 25,- 15,- 15,100 19,5 D,5 D,- - ,- - ,- - ,1.5,- Kick,Torches,https://eldenring.wiki.fextralife.com/Torches,15/08/2022
Beast-Repellent Torch,58 23,- 17,104 28,- 17,- 17,100 19,12 C,8 E,- - ,- - ,- - ,2.5,- (- ) Torch Attack,Torches,https://eldenring.wiki.fextralife.com/Torches,15/08/2022
Steel-Wire Torch,61 25,- 18,109 30,- 18,- 18,100 19,10 D,8 C,- - ,- - ,- - ,2.5,8 Firebreather,Torches,https://eldenring.wiki.fextralife.com/Torches,15/08/2022
Sentry's Torch,56 30,- 21,- 21,- 21,100 36,100 22,15 D,8 E,- - ,15 D,- - ,5,- Kick,Torches,https://eldenring.wiki.fextralife.com/Torches,15/08/2022
Ghostflame Torch,50 21,90 42,- 13,- 13,- 13,100 19,10 E,10 E,14 D,- - ,- - ,2.5,- Kick,Torches,https://eldenring.wiki.fextralife.com/Torches,15/08/2022
St Trina's Torch,51 25,- 15,91 40,- 15,- 15,100 20,10 E,10 D,- - ,14 D,- - ,3,15 Fires of Slumber,Torches,https://eldenring.wiki.fextralife.com/Torches,15/08/2022
